message_id,title,date,,,
2093,KEYS OF THE CENTURION,1/27/17,,,
2092,THE OPPONENT,7/9/16,,,
2091,JOSIAH‰ÛªS WINDOW ,1/22/17,,,
2090,YOUR SECRET PRIESTHOOD,1/13/17,,,
2089,WORD FOR THE YEAR 2017,1/8/17,,,
2088,THE ANOINTING,1/1/17,,,
2087,2016 TIME LAPSE,12/31/16,,,
2086,THE SOVEREIGNS,12/25/16,,,
2085,THE TIME OF FULLNESS,12/24/16,,,
2084,A MAN CALLED IMMANUEL ,12/23/16,,,
2083,THE REKINDLING  ,12/18/16,,,
2082,THE OTHER GOD IN THE TEMPLE ,12/16/16,,,
2081,THE MASTER CLASS,12/11/16,,,
2080,MESSIAH IN THE CROWD ,12/9/16,,,
2079,THE JUBILEAN MYSTERY ,12/4/16,,,
2078,THE RISK TAKERS,12/2/16,,,
2077,THE GOD-THING AND THE YOU-FACTOR,11/27/16,,,
2076,THE SECRET OF FRUITS AND TREES,11/25/16,,,
2075,A TIME TO DECIDE,11/6/16,,,
2074,THE TESHUVAH POWER,11/4/16,,,
2073,OVERCOMING THE SERPENT,10/30/16,,,
2072,THE HEBREW BLESSING REVELATION,10/28/16,,,
2071,THE ELEMENTS OF HEAVEN,10/16/16,,,
2070,THE AUTUMN TEMPLATE,10/14/16,,,
2069,In His Presence,10/9/16,,,
2068,The Sacred Genome,10/7/16,,,
2067,The Harbinger of Baal,10/2/16,,,
2066,Days of the Tishbite,9/30/16,,,
2065,HERE I AM!,9/23/16,,,
2064,En Ha Korah: The Well of the Caller,9/18/16,,,
2063,The Realm of Above,9/16/16,,,
2062,AFTER THE SHAKING: Prophetic Word on the 15th Anniversary of 9/11,9/11/16,,,
2061,The Nezer,9/9/16,,,
2060,THE PANIM HA MASHIACH,8/21/16,,,
2059,THE ANTI-PROBLEM PRINCIPLE,8/19/16,,,
2058,THE POWER OF LET,8/14/16,,,
2057,THE IDUMEAN MYSTERY,8/12/16,,,
2056,THE GOD QUEST,8/7/16,,,
2055,THE MYSTERY OF THE ZYGOTE,7/31/16,,,
2054,THE ADDERET,7/29/16,,,
2053,THE MYSTERY OF THE WOLVES,7/15/16,,,
2052,YOUR DECLARATION OF INDEPENDENCE,7/3/16,,,
2051,THE ANTI-MARGINAL,7/1/16,,,
2050,THE HEAVENLY UNPOSSESSION,6/24/16,,,
2049,CHILDREN OF HEAVEN,6/19/16,,,
2048,THE KEBURAH,6/17/16,,,
2047,THE PNEUMATIC POWER,6/12/16,,,
2046,THE PLEDGE,6/10/16,,,
2045,THE SIX HEAVENLY ENTITIES,6/5/16,,,
2044,THE MISSING GOD,6/3/16,,,
2043,THE ARABAH,5/29/16,,,
2042,MANIFESTING GOD,5/27/16,,,
2041,THE CHALDEAN MYSTERY,5/15/16,,,
2040,MESSIAH AT THE GRAVEYARD,5/13/16,,,
2039,THE MOTHER LOVE OF GOD,5/8/16,,,
2038,DAYS OF FUTURE PAST,5/6/16,,,
2037,THE SECRET OF CISTERNS,5/1/16,,,
2036,THE PRACTICE OF ALWAYS,4/29/16,,,
2035,THE TRACING,4/24/16,,,
2034,THE PASSOVER SEDER CELEBRATION 2016,4/22/16,,,
2033,THE RESISTANCE SECRET,4/8/16,,,
2032,THE SEVEN EYES,4/3/16,,,
2031,THE COSMIC BRIDEGROOM,4/1/16,,,
2030,THE POWER OF THE FIRSTFRUITFUL,3/27/16,,,
2029,ENTERING THE SEVENTH DAY,3/25/16,,,
2028,THE SACRED SHAKING,3/20/16,,,
2027,THE ISSUE OF YOUR SAINTHOOD,3/18/16,,,
2026,THE SIDELINERS,3/13/16,,,
2025,THE PURIM LAW,3/11/16,,,
2024,THE SPIRIT OF THE SHEPHERD,2/28/16,,,
2023,THE GOSPEL OF THE LILIES,2/26/16,,,
2022,THE BELOVED POSSESSION,2/14/16,,,
2021,THE LIVING BLESSING,2/12/16,,,
2020,THE KEY OF THE PROMISE,2/7/16,,,
2019,ISAIAH'S KIPPURIM II,2/5/16,,,
2018,THE SECRET IN ABRAHAM'S TENTS,1/31/16,,,
2017,THE SURPRISE,1/29/16,,,
2016,THE KEYS OF VICTORY,1/22/16,,,
2015,THE MOMENT OF THE DESTINED,7/3/15,,,
2014,THE MYSTERY OF THE SHEMITAH CONFIRMED,1/17/16,,,
2013,THE SHALOM I GIVE,1/15/16,,,
2012,THE ALPHA KEY,1/10/16,,,
2011,THE APPOINTING AND THE ANOINTING,1/1/16,,,
2010,THE 2015 TIME LAPSE,12/31/15,,,
2009,WORDS FOR THE YEAR: 2016,12/27/15,,,
2008,THE TREASURE OF MIRACLES,12/25/15,,,
2007,ANGELS AND SHEPHERDS,12/24/15,,,
2006,THE BETHLEHEM TAPESTRY,12/20/15,,,
2005,THE WONDER,12/18/15,,,
2004,THE MENORAH PROPHECY,12/6/15,,,
2003,THE PRE-ABOMINATION PROPHECIES,12/4/15,,,
2002,THE RECHEM,11/29/15,,,
2001,THE POWER OF INTEGRITAS,11/27/15,,,
2000,THE YAD PEOPLE,11/22/15,,,
1999,THE STASIS,11/20/15,,,
1998,THE MYSTERY HARVESTS,11/8/15,,,
1997,LAWLESS,11/6/15,,,
1996,THE PRUNER'S HANDBOOK,11/1/15,,,
1995,THE DEVILS PSYCHOLOGICAL WARFARE- And How To Overcome It,10/30/15,,,
1994,THE POWER OF TAMIM,10/25/15,,,
1993,ISAIAH'S KIPPURIM I,10/23/15,,,
1992,GEDALIAH,10/18/15,,,
1991,THE ABOMINATIONS,10/16/15,,,
1990,THE TENT OF HEAVEN,10/4/15,,,
1989,THE ALPHA AND OMEGA SCROLL: The Mystery of Shemeni Atzeret,10/2/15,,,
1988,THE ONCE - IN - AN  ETERNITY WORLD,9/27/15,,,
1987,THE TABERNACLE OF DAVID MYSTERY,9/25/15,,,
1986,THE PROPHETIC JUBILEE II,9/20/15,,,
1985,THE PROPHETIC JUBILEE I,9/18/15,,,
1984,THE COMING MOED,9/13/15,,,
1983,THE REVELATION TEMPLATE,9/11/15,,,
1982,THE DAYS TO COME II,9/6/15,,,
1981,THE DAYS TO COME I,9/4/15,,,
1980,THE TECTONIC MOMENT & THE APPOINTED DESTINY,8/14/15,,,
1979,ANOCHEE EEMKHA,8/9/15,,,
1978,ENDLESS,8/7/15,,,
1977,THE ABOLITION OF GRAY,8/2/15,,,
1976,THE MYSTERY DAYS OF ZION I,7/19/15,,,
1975,THE SHALOM HEART,7/17/15,,,
1974,THE PROPHETIC MOMENT & Preparing For What Lies Ahead,7/12/15,,,
1973,THE ISAIAH 9:10 METAMORPHOSIS,7/10/15,,,
1972,THE PRICE OF ALL: Secret of the Pearl V,6/26/15,,,
1971,THE CHILD OF GOD IDENTITY,6/21/15,,,
1970,THE ARCH OF TITUS,6/19/15,,,
1969,THE APRIL MESSAGES,2015-04-00,,,
1968,THE KINGDOM OF THE LAMB,5/31/15,,,
1967,WAR OF THE GODS,5/29/15,,,
1966,THE MATTAN REVELATION,5/24/15,,,
1965,THE SHAVUOT KEYS,5/22/15,,,
1964,THE DARK ANGEL'S RED ALTAR,5/17/15,,,
1963,THE REAPPEARING,5/15/15,,,
1962,SECRETS OF LITTLE CHILDREN IV,5/10/15,,,
1961,THE DARK ANGEL'S SACRIFICE,5/8/15,,,
1960,THE KHAVAH MYSTERY OF EXISTENCE,5/3/15,,,
1959,THE ROOTS BY THE WATERS,5/1/15,,,
1958,THE MAMMON KEY,4/19/15,,,
1957,THE JOY OF THE REAPERS,4/17/15,,,
1956,THE I AM REVELATION,4/12/15,,,
1955,THE RAINS OF ZION,4/10/15,,,
1954,THE GENESIS DAY,4/5/15,,,
1953,THE GOD PRICE,4/3/15,,,
1952,HOW TO FULFILL PROPHECY V,3/29/15,,,
1951,THE PASSOVER SEDER CELEBRATION 2015:The Power of Remembrance,3/27/15,,,
1950,THE MANTLE OF ELIJAH,3/22/15,,,
1949,THE MIDDLE OF THE SHEMITAH,3/20/15,,,
1948,THE MOUNTAIN OF THE DARK ANGEL,3/15/15,,,
1947,THE PRESENCE IN THE TENT,3/13/15,,,
1946,STORM BREAKERS,3/1/15,,,
1945,HOW TO USE HAMAN FOR A LIFE OF BLESSING,2/27/15,,,
1944,THE EPIC ENDING,2/20/15,,,
1943,THE DODAYICH MYSTERY,2/15/15,,,
1942,THE ALTAR OF THE DARK ANGEL,2/13/15,,,
1941,THE LAMB UPON THE THRONE,2/1/15,,,
1940,BLESSED ARE THE PRUNERS,1/30/15,,,
1939,THE SHELL,1/25/15,,,
1938,THE MYSTERY OF PERGAMON ,1/23/15,,,
1937,REAPING THE FIELD OF BLESSINGS,1/11/15,,,
1936,THE VALLEY OF DRY BONES REVELATION,1/9/15,,,
1935,WORDS FOR THE YEAR:THE SOUND OF TERUAH,1/4/15,,,
1934,2014 TIME LAPSE,12/31/14,,,
1933,THE NIGHT OF THE SHEPHERDS,12/24/14,,,
1932,THE ALPHA LIGHT,12/21/14,,,
1931,THE VISITATION OF PLANET EARTH,12/19/14,,,
1930,THE MASK OF THE GODS,12/14/14,,,
1929,THE MACCABEE BLUEPRINT VI,12/12/14,,,
1928,THE SCIENTIFIC SECRETS OF JOY III,12/7/14,,,
1927,THE MYSTERY OF THE DOUBLE NEGATIVE REDEMPTION,12/5/14,,,
1926,THE ZION REVELATION,11/30/14,,,
1925,THE MYSTERY OF THE SHEMITAH CONTINUES II: The Uncrowning & The Assyrian,11/28/14,,,
1924,THE END OF THE STORY I,11/2/14,,,
1923,THE MYSTERY OF THE SHEMITAH CONTINUES I: THE FORESHADOWINGS,10/31/14,,,
1922,THE TENT OF EDEN,10/26/14,,,
1921,ROME AND JERUSALEM II: THE MYSTERY OF THE AGE ,10/24/14,,,
1920,THE AGE OF TABERNACLES,10/12/14,,,
1919,THE TABERNACLE'S SECRETS OF JOY,10/10/14,,,
1918,THE STATE OF ONEMENT,10/5/14,,,
1917,THE MYSTERY OF THE THREE YOM KIPPURS,10/3/14,,,
1916,THE LION OF TISHRI,9/28/14,,,
1915,THE COMING GREAT MOED,9/26/14,,,
1914,THE MYSTERY OF THE ALPHA STONE,9/21/14,,,
1913,THE SECRETS OF PRUNING,9/14/14,,,
1912,RADICALLY ROOTED,9/12/14,,,
1911,THE DAYS OF NULLIFICATION: THE MYSTERY OF THE SHEMITAH III,8/17/14,,,
1910,YOUR HEAVENLY PATTERN AND YOUR EARTHLY TAPESTRY: THE HEAVENLY PATTERN IV,8/8/14,,,
1909,THE PARADISE LAMB: The Lamb Mysteries VI,8/3/14,,,
1908,THE MYSTERY OF THE SHEMITAH-What Lies Ahead:The Mystery of the Shemitah VII,8/1/14,,,
1907,THE MYSTERY OF THE SEVENTH SHEMITAH:The Mystery of the Shemitah VI,7/20/14,,,
1906,THE RISE AND FALL OF NATIONS: The Mystery of the Shemitah V,7/18/14,,,
1905,THE MYSTERY OF THE TOWERS: The Mystery of the Shemitah IV,7/13/14,,,
1904,THE MYSTERY OF THE CATACLYSMS:The Mystery of the Shemitah II,7/13/14,,,
1903,THE ANCIENT MYSTERY & THE CYCLE OF SINAI:The Mystery of the Shemitah I,7/11/14,,,
1902,THE CHALDEAN SECRET OF WORLD HISTORY III,6/22/14,,,
1901,THE FATHER WHO NEVER WAS AND ALWAYS IS,6/15/14,,,
1900,ROME AND JERUSALEM: THE MYSTERY OF THE AGE I,6/13/14,,,
1899,THE GREAT OMISSION ,6/8/14,,,
1898,THE HOLY GUEST,6/6/14,,,
1897,ENTERING THE HEAVENLY DIMENSION,5/30/14,,,
1896,THE ANTI-FEAR & ANXIETY SOLUTION,5/25/14,,,
1895,THE LAMB MYSTERIES V,5/23/14,,,
1894,REVIVAL AND THE GODS,5/18/14,,,
1893,DRY BONES RISING,5/16/14,,,
1892,OUTSIDE THE WOMB,5/11/14,,,
1891,A MATTER OF GODS,5/9/14,,,
1890,THE NINTH OF AV MYSTERY,5/2/14,,,
1889,THE SCIENTIFIC SECRETS OF JOY II,4/27/14,,,
1888,THE POWER OF THE RAYSHEET,4/20/14,,,
1887,THE SUNSET OF MESSIAH,4/18/14,,,
1886,HOW TO FULFILL PROPHECY IV,4/13/14,,,
1885,THE PASSOVER SEDER CELEBRATION 2014:  THE POWER TO MOVE,4/11/14,,,
1884,THE I AM MYSTERIES!,4/6/14,,,
1883,THE END-TIME REVELATION STRATEGY II,4/4/14,,,
1882,THE MYSTERY OF THE OMEGA STONE!,3/23/14,,,
1881,THE LAMB OF THE RISING: THE LAMB MYSTERIES IV,3/21/14,,,
1880,THE CALL OF THE DESTINED,3/16/14,,,
1879,THE MYSTERY OF HAMAN II,3/14/14,,,
1878,THE SPIRIT OF THE WOLF,3/9/14,,,
1877,THE SARIM:THE LITTLE MESSIAHS V,3/7/14,,,
1876,YHVH IN SANDALS,3/2/14,,,
1875,THE HEAVENLY EXCHANGE: SECRETS OF THE PEARL IV,2/21/14,,,
1874,THE MYSTERY OF THE TZIPURIM,2/16/14,,,
1873,THE DODEKHA MYSTERY,2/14/14,,,
1872,WORTHY OF THE CALL,2/9/14,,,
1871,THE RIVER OF THE PRIESTS,2/7/14,,,
1870,THE KEY TO YOUR PROMOTION,2/2/14,,,
1869,THE BLIND MAN'S JOKE,1/31/14,,,
1868,THE ISAIAH 53 LEVITICAL MYSTERIES II,1/24/14,,,
1867,The Tree and the Waters,1/12/14,,,
1866,WORD FOR THE YEAR:THE VISION, THE VOICE, THE PREPARATION, THE POWER &...,1/5/14
1864,ANI ET-KHA (I AM WITH YOU),12/24/13,,,
1863,THE YESHUA ANSWER ,12/22/12,,,
1862,A COURSE IN MIRACLES,12/20/12,,,
1861,THE ISAIAH 53 LEVITICAL MYSTERIES I,12/13/13,,,
1860,THE HANUKAH END-TIME STRATEGY II,12/8/13,,,
1859,THE HANUKAH END-TIME KEYS 1,12/6/13,,,
1858,JOURNEY TO THE PROMISED LAND III,11/24/13,,,
1857,NOVEMBER 22nd 1963 THE 50th ANNIVERSARY,11/22/13,,,
1856,THE PRICE OF THE GREAT,11/3/13,,,
1855,THE LAMB MYSTERIES III:THE OFFERING,11/1/13,,,
1854,THE FROZEN BIRTHDAY CAKE,10/27/13,,,
1853,THE TEN KEYS OF THE SHABBAT MASHIACH,10/25/13,,,
1852,THE HARBINGER CONTINUES II: THE OTHER MYSTERY GROUND,10/13/13,,,
1851,LIVING THE PATTERN: THE HEAVENLY PATTERN III,10/11/13,,,
1850,THE ISAIAH 53 ATONEMENT,10/6/13,,,
1849,THE MIDDLE OF THE STORY,10/4/13,,,
1848,9/11 WORD TO AMERICA,9/11/13,,,
1847,THE EIGHTH DAY & HOW TO ENTER YOUR AFTERLIFE NOW,9/29/13,,,
1846,THE MYSTERY OF HOSHANNA RABBAH,9/27/13,,,
1845,THE SUKKOT SECRETS OF THE SPIRIT ,9/22/13,,,
1844,THE PERSON BEHIND THE VEIL,9/15/13,,,
1843,KADASH AND THE KINGDOM OF OY,9/13/13,,,
1842,THE MYSTERY OF THE SEVEN TRUMPETS,9/8/13,,,
1841,THE SHOFAR MYSTERY,9/6/13,,,
1840,THE END-TIME METAMORPHOSIS & THE ELIJAH PARADIGM!,7/1/13,,,
1839,BRIT PELEH: THE COVENANT OF THE IMPOSSIBLE,8/4/13,,,
1838,THE HALL OF SUPER VILLIANS,8/2/13,,,
1837,MESSAGE TO AMERICA,1/21/13,,,
1836,THE POWER OF JOY & THE VICTORIOUS LIFE,7/21/13,,,
1835,THE LAMB MYSTERIES II: THE LAMB & THE ALTAR,7/19/13,,,
1834,HOW TO GET RICH USING PLAY MONEY,7/14/13,,,
1833,THE BOOK OF YOU,7/12/13,,,
1832,A SUPREME APOSTASY,6/30/13,,,
1831,THE COSMIC SHEPHERD & THE COSMIC WOLF,6/28/13,,,
1830,THE ABBA DOCTRINE,6/16/13,,,
1829,THE SCIENTIFIC SECRETS OF JOY I,6/14/13,,,
1828,THE JERUSALEM PLURALITIES,6/7/13,,,
1827,THE MYSTERY OF THE RAINS,6/2/13,,,
1826,THE CHALDEAN SECRET TO WORLD HISTORY II: FROM 70 A.D. TO 1492,5/26/13,,,
1825,FINDING THE HEAVENLY PATTERN: THE HEAVENLY PATTERN II,5/24/13,,,
1824,THE WORLD-CHANGING CALL-A MESSAGE TO THE MESSIANIC MOVEMENT (RECORDED LIVE ,7/1/12,,,
1823,THE KEYS OF THE ANOINTED,5/19/13,,,
1822,DUNAMAHEE: THE POWER OF I CAN,5/17/13,,,
1821,THE WEDDING OF JONATHAN & RENATA PART II (DVD ONLY),6/18/05,,,
1820,THE WEDDING OF JONATHAN & RENATA PART I,6/18/05,,,
1819,THE PRE-WEDDING CEREMONY - Part II  THE BRINGING OF THE BRIDE,6/17/05,,,
1818,THE PRE-WEDDING CEREMONY - Part I  THE BRINGING OF THE BRIDE,6/17/05,,,
1817,THE ISAIAH 49:16 LOVE,5/12/13,,,
1816,THE MYSTERY OF THE SECRET ISRAELIS IV,5/10/13,,,
1815,LIVING IN SHADOWLAND,4/28/13,,,
1814,THE LAMB MYSTERIES I,4/26/13,,,
1813,THE COSMIC HERETIC,4/21/13,,,
1812,PLANTED,4/19/13,,,
1811,THE MYSTERY OF THE COSMIC WOMB,4/7/13,,,
1810,THE ISAIAH 53 NEW TESTAMENT REVELATION!,4/5/13,,,
1809,THE NIGHT AND THE SUNRISE,3/31/13,,,
1808,THE SECRETS OF THE MOHAR,3/29/13,,,
1807,HOW TO FULFILL PROPHECY III,3/24/13,,,
1806,THE PASSOVER SEDER 2013,3/22/13,,,
1805,THE HEAVENLY PATTERN: THE HEAVENLY PATTERN I,3/17/13,,,
1804,THE CHALDEAN SECRET OF WORLD HISTORY I: FROM EGYPT TO ROME,3/15/13,,,
1803,THE GREAT HERESIES,3/10/13,,,
1802,THE GROGGER,2/24/13,,,
1801,THE MYSTERY OF HAMAN I,2/22/13,,,
1800,THE MAN WHO NEVER WAS,2/17/13,,,
1799,THE ISAIAH 53 APPEARINGS I,2/15/13,,,
1798,THE DARK TRINITY,2/10/13,,,
1797,Weaned!,1/25/13,,,
1796,THE STATE OF ALWAYS,1/20/13,,,
1795,THE RADICAL KING & THE ROAD LESS TRAVELED,1/18/13,,,
1794,WORD FOR THE YEAR 2013,1/6/13,,,
1793,THE SHANNAH & THE MANAH,12/31/12,,,
1792,THE SECRETS OF CHANGE & BREAKTHROUGH,12/28/12,,,
1791,THE HOUSE OF THE PRESENCE,12/24/12,,,
1790,BC/AD,12/23/12,,,
1789,THE CHRISTMAS PRINCIPLE,12/21/12,,,
1774,SECRETS OF THE NIGHT: THE STARS,12/9/12,,,
1773,THE MACCABBEE BLUEPRINT V,12/7/12,,,
1772,THE MESSIAH MOTIVE,12/2/12,,,
1771,LIKE A TREE,11/30/12,,,
1770,THE DON‰ÛªT LOOK WHERE YOU‰ÛªRE NOT GOING SECRET!,11/25/12,,,
1769,DAYS OF EARTH AND HEAVENLY HABITATIONS,11/18/12,,,
1768,THE ISAIAH 53 NEW COVENANT APPEARINGS,11/16/12,,,
1767,THE TIPPING POINT,11/9/12,,,
1766,DEVILS, TWISTERS, & HERETICS,10/28/12,
1765,THE EXCELLENT,10/19/12,,,
1764,THE HARBINGER CONTINUES: EREZ AND BABEL,10/14/12,,,
1763,D328 THE SECRET OF WORLD HISTORY II,10/12/12,,,
1762,THE HEAVEN‰ÛªS CAMPERS ON EARTH,9/30/12,,,
1761,THE HEAVEN AND EARTH CONTINUUM,9/28/12,,,
1760,MESSIAH‰ÛªS JUBILEE,9/23/12,,,
1759,THE PROPER CARE OF YOUR PET SCAPEGOAT,9/21/12,,,
1758,THE DAY OF THE SHOMREEM,9/16/12,,,
1757,THE MYSTERY OF TISHRI 1,9/14/12,,,
1756,THE AWESOME DAYS,9/9/12,,,
1755,THE PRESENCE & THE GLORY ‰ÛÒ LOST AND FOUND ,9/7/12,,,
1754,THE MANTLE OF JONAH,8/12/12,,,
1753,BLESSED IS THE MAN,8/10/12,,,
1752,THE FORGOTTEN VIRTUE,7/29/12,,,
1751,YOUR FOOTPRINTS IN THE SAND,7/27/12,,,
1750,THE MATRIX WORLD: HEAVEN'S WOMB,7/22/12,,,
1749,THE NEHEMIAH STRATEGY,7/20/12,,,
1748,APPREHENDING THE MOMENTUM OF HEAVEN II,7/1/12,,,
1746,KHAZAK! THE SECRET OF MAKING YOURSELF STRONG,6/24/12,,,
1745,THE ABBA MYSTERY OF FAITH,6/17/12,,,
1744,THE SARCASTIC PROPHET,6/15/12,,,
1743,MYSTERIES OF THE SECRET ISRAELI'S III,6/3/12,,,
1742,THE SECRET OF THE WIND,5/27/12,,,
1741,THE POWER,5/25/12,,,
1740,THE SECRETS OF LITTLE CHILDREN III,5/13/12,,,
1739,THE ISAIAH 53 WITNESS II,5/11/12,,,
1738,THE COSMIC KEYCHAIN II,5/4/12,,,
1737,IF MY PEOPLE,4/29/12,,,
1736,ENTERING YOUR PROPHETIC DESTINY!,4/15/12,,,
1735,PASSOVER SEDER CELEBRATION -2012,4/13/12,,,
1734,THE MYSTERY EVENT,4/8/12,,,
1733,MESSIAH'S CATACLYSM & THE HIDDEN WRITINGS OF 30 A.D.,4/6/12,,,
1732,HOW TO FULFILL PROPHECY II,4/1/12,,,
1731,THE COSMIC KEYCHAIN I,3/30/12,,,
1730,THE NISAN GOSPEL MYSTERY,3/25/12,,,
1729,THE PRIZE: SECRETS OF THE PEARL III,3/16/12,,,
1728,THE COSMIC TSULAV & THE MYSTERY OF PURIM,3/11/12,,,
1727,THE SWORD OF AMALEK & THE MYSTERY OF PURIM,3/9/12,,,
1726,WOLVES & HERETICS,3/4/12,,,
1725,THE GOLDEN CALF CIVILIZATION: TABLET II,2/19/12,,,
1724,THE ISAIAH 53 WITNESS,2/17/12,,,
1723,THE PRODIGAL SON REVELATION,2/12/12,,,
1722,STATE OF BLISS,2/10/12,,,
1721,THE MESSIAH BEARER,2/5/12,,,
1720,THE 3 ANOINTINGS OF THE HOLY,2/3/12,,,
1719,THE MYSTERY OF THE COSMIC FRINGE: THE KRASPEDON MYSTERIES IV,1/29/12,,,
1718,THE DESTINY PRINCIPLE,1/27/12,,,
1717,APPREHENDING THE MOMENTUM OF HEAVEN,1/22/12,,,
1716,END OF YEAR MINI-MESSAGE,12/30/11,,,
1715,THE WAR OF THE CHRISTMASES,12/25/11,,,
1714,THE FROM FOREVER REDEMPTION,12/24/11,,,
1713,LORD OF THE AGES,12/23/11,,,
1712,HANUKAH CODE II,12/18/11,,,
1711,HANUKAH CODE I,12/16/11,,,
1710,RIVERS OF EDEN,12/4/11,,,
1709,THE REVOLUTIONARIES: LITTLE MESSIAHS,12/2/11,,,
1708,THE PURCHASED,11/27/11,,,
1707,THE SERPENTHEAD PRINCIPLE,11/25/11,,,
1706,THE MAN OUTSIDE THE PARTY,11/20/11,,,
1705,The Power of the Keys,11/18/11,,,
1704,BAAL, ZEUS, TAMMUZ, & THE THREE STOOGES,11/11/11
1703,THE EAGLE, THE WIND, THE CALL, & THE GLORY!,10/23/11
1702,THE DAY AFTER THE END,10/21/11,,,
1701,THE MYSTERY OF THE ILANOT,7/1/11,,,
1700,YOUR CALLING, YOUR OBSTACLE, YOUR VICTORY,10/16/11,
1699,THE SUKKOT FACTOR & THE SEVEN BLESSINGS,10/14/11,,,
1698,INTO THE HOLY OF HOLIES,10/9/11,,,
1697,THE TETRAGRAMMETON,10/7/11,,,
1696,THE ELIJAH CALL,10/2/11,,,
1695,THE DAYS OF APOSTASY [ AND HOW TO PROSPER IN SPITE OF THEM],9/30/11,,,
1694,LOST TREASURE WORLD,9/25/11,,,
1693,THE SECRETS OF THE MOUNTAINTOP WALKER,9/23/11,,,
1692,THE KEYS OF THE KINGDOM--No DVD,9/16/11,,,
1691,THE ARBELLA PROPHECY,9/11/11,,,
1690,THE BAT & THE MOTH WARFARE REVELATION,9/9/11,,,
1689,THE MYSTERY OF THE COSMIC WINGS: THE KRASPEDON MYSTERIES III,8/14/11,,,
1688,THE BURIED TREASURE: SECRETS OF THE PEARL II,8/12/11,,,
1687,FORSAKE NOT,8/7/11,,,
1686,THE GATES OF SHEOL,8/5/11,,,
1685,HOW PRECIOUS ARE YOUR THOUGHTS,7/31/11,,,
1684,THE ISAIAH 53 RABBINICAL MYSTERY II: THE CONLCLUSION,7/29/11,,,
1683,AS YOU LOVE YOURSELF,7/17/11,,,
1682,THE SURE, THE SECURE, THE MIGHTY,7/15/11,
1681,THE WATCHMAN'S CHARGE,7/3/11,,,
1680,YESHUATI,7/1/11,,,
1679,THE SECRETS OF LITTLE CHILDREN II,6/19/11,,,
1678,DAYENU: THE SECRET OF CONTENTMENT,6/17/11,,,
1677,THE MYSTERY OF THE TREES,6/10/11,,,
1676,THE FORCE,6/5/11,,,
1675,THE MOUNT SINAI PENTECOST,6/3/11,,,
1674,THE MAN WHO CRIED WOLF,5/22/11,,,
1673,THE MYSTERY OF THE TWO KEHILAHS,5/20/11,,,
1672,THE SECRETS OF LITTLE CHILDREN I,5/8/11,,,
